ID_Camion,Fecha_Entrada_Taller,Kilometraje,Tipo_Servicio,Repuestos_Requeridos,Costo_Repuestos,Costo_Mano_Obra,Duracion_Taller_Dias,Taller_ID,Ciudad_Taller,Modelo_Camion,Año_Fabricacion,Presupuesto_Aprobado,Fecha_Salida_Taller,Cliente_ID,Frecuencia_Visitas_Taller,Tiempo_Espera_Dias,Tecnico_Asignado,Tipo_Repuesto_Mayor,Reclamos_Previos,Satisfaccion_Cliente
SCANIA-1019,2023-01-20,371879,Reparación,4,4688.19,497.7,7,TLR002,Antofagasta,R500,2015,,2023-01-24,CLT-485,8,4,TEC-2,Suspensión,2,2.0
SCANIA-1020,2023-01-21,768315,Mantenimiento,1,372.7,2315.79,14,TLR003,Valparaíso,R500,2015,True,2023-01-25,CLT-402,7,9,TEC-14,Motor,4,1.0
SCANIA-1021,2023-01-22,377069,Diagnóstico,9,,3721.55,2,TLR002,,P360,2019,True,2023-01-26,CLT-881,1,2,TEC-14,Suspensión,3,4.0
SCANIA-1022,2023-01-23,826997,Mantenimiento,6,5633.69,3463.92,10,TLR003,Santiago,R500,2020,False,2023-01-27,CLT-386,2,6,TEC-4,Transmisión,1,4.0
SCANIA-1023,2023-01-24,249041,Diagnóstico,1,,4093.85,3,TLR001,Antofagasta,G410,2022,True,2023-01-28,CLT-661,2,8,TEC-17,Suspensión,3,3.0
SCANIA-1024,2023-01-25,841743,Reparación,1,7478.39,4399.52,10,TLR002,Santiago,G410,2017,False,2023-01-29,CLT-288,4,5,TEC-15,Motor,3,1.0
SCANIA-1025,2023-01-26,153355,Diagnóstico,6,,,9,TLR004,Valparaíso,P360,2022,False,2023-01-30,CLT-396,3,2,TEC-16,Frenos,1,5.0
SCANIA-1026,2023-01-27,285796,Reparación,4,,3390.78,3,TLR004,Valparaíso,R500,2017,True,2023-01-31,CLT-625,1,4,TEC-5,Suspensión,4,2.0
SCANIA-1027,2023-01-28,264176,Mantenimiento,4,4195.82,255.44,2,TLR001,Santiago,G410,2016,False,2023-02-01,CLT-488,2,6,TEC-17,Motor,4,5.0
SCANIA-1028,2023-01-29,234779,Mantenimiento,6,1091.43,,9,TLR002,Concepción,P360,2022,False,2023-02-02,CLT-558,9,7,TEC-7,Frenos,2,3.0
SCANIA-1029,2023-01-30,397449,Mantenimiento,7,6165.45,,13,TLR004,Concepción,G410,2021,True,2023-02-03,CLT-843,1,3,TEC-15,Transmisión,2,3.0
SCANIA-1030,2023-01-31,471909,Diagnóstico,9,5495.4,4059.53,10,TLR003,Antofagasta,P360,2021,True,2023-02-04,CLT-360,9,1,TEC-17,Transmisión,4,4.0
SCANIA-1031,2023-02-01,308795,Reparación,5,6229.3,1671.55,9,TLR002,Antofagasta,P360,2015,True,2023-02-05,CLT-803,7,9,TEC-12,Eléctrico,4,5.0
SCANIA-1032,2023-02-02,536232,Mantenimiento,9,7621.25,2855.9,4,TLR002,Concepción,S730,2016,False,2023-02-06,CLT-814,2,1,TEC-11,Transmisión,4,3.0
SCANIA-1033,2023-02-03,550186,Mantenimiento,4,6256.62,1469.28,14,TLR004,Concepción,S730,2018,False,2023-02-07,CLT-872,2,2,TEC-19,Eléctrico,4,3.0
SCANIA-1034,2023-02-04,206730,Reparación,2,4968.43,3934.25,12,TLR003,Santiago,R500,2019,False,2023-02-08,CLT-212,5,7,TEC-11,Transmisión,3,3.0
SCANIA-1035,2023-02-05,434681,Mantenimiento,3,6887.01,4443.86,9,TLR003,Valparaíso,S730,2016,False,2023-02-09,CLT-985,5,0,TEC-2,Transmisión,2,5.0
SCANIA-1036,2023-02-06,199503,Reparación,1,5451.32,,3,TLR003,Valparaíso,P360,2015,True,2023-02-10,CLT-963,4,6,TEC-15,Transmisión,1,4.0
SCANIA-1037,2023-02-07,704811,Reparación,6,3383.33,,7,TLR002,Antofagasta,G410,2018,,2023-02-11,CLT-135,3,5,TEC-5,Eléctrico,0,2.0
SCANIA-1038,2023-02-08,577035,Reparación,6,7107.83,,7,TLR001,Concepción,G410,2017,True,2023-02-12,CLT-178,4,1,TEC-18,Eléctrico,1,2.0
SCANIA-1039,2023-02-09,698143,Reparación,1,1930.82,2719.84,11,TLR002,Santiago,R500,2018,True,2023-02-13,CLT-374,4,8,TEC-16,Suspensión,0,2.0
SCANIA-1040,2023-02-10,502366,Reparación,3,5774.2,4307.93,8,TLR002,Antofagasta,S730,2020,True,2023-02-14,CLT-377,2,4,TEC-4,Motor,3,3.0
SCANIA-1041,2023-02-11,115725,Diagnóstico,5,7076.19,1696.82,10,TLR004,Santiago,R500,2022,True,2023-02-15,CLT-773,5,1,TEC-10,Motor,2,2.0
SCANIA-1042,2023-02-12,179981,Mantenimiento,3,5904.27,4774.81,4,TLR001,Concepción,P360,2016,False,2023-02-16,CLT-411,5,2,TEC-2,Motor,0,4.0
SCANIA-1043,2023-02-13,134654,Diagnóstico,3,5638.75,697.21,3,TLR003,Concepción,S730,2015,True,2023-02-17,CLT-628,5,6,TEC-15,Transmisión,4,2.0
SCANIA-1044,2023-02-14,641723,Mantenimiento,3,6070.58,,3,TLR004,,R500,2016,,2023-02-18,CLT-303,1,6,TEC-4,Motor,3,3.0
SCANIA-1045,2023-02-15,369030,Diagnóstico,5,3827.43,4530.26,12,TLR002,Valparaíso,G410,2017,True,2023-02-19,CLT-116,6,9,TEC-16,Eléctrico,0,4.0
SCANIA-1046,2023-02-16,378947,Reparación,5,7018.53,,5,TLR001,Concepción,G410,2021,True,2023-02-20,CLT-813,2,0,TEC-7,Suspensión,4,3.0
SCANIA-1047,2023-02-17,605839,Mantenimiento,4,1786.8,4960.26,11,TLR003,Antofagasta,R500,2017,True,2023-02-21,CLT-575,7,9,TEC-12,Frenos,3,1.0
SCANIA-1048,2023-02-18,323538,Mantenimiento,1,1193.61,4761.84,14,TLR003,Valparaíso,R500,2015,False,2023-02-22,CLT-610,4,3,TEC-3,Suspensión,0,1.0
SCANIA-1049,2023-02-19,381236,Diagnóstico,5,2426.97,771.4,1,TLR002,Santiago,R500,2020,True,2023-02-23,CLT-309,5,5,TEC-17,Motor,4,2.0
SCANIA-1050,2023-02-20,578178,Diagnóstico,5,4346.3,2734.16,10,TLR003,Antofagasta,P360,2019,True,2023-02-24,CLT-598,5,7,TEC-9,Motor,2,4.0
SCANIA-1051,2023-02-21,615894,Mantenimiento,4,4182.38,1006.11,3,TLR003,Antofagasta,P360,2022,True,2023-02-25,CLT-501,5,2,TEC-8,Eléctrico,3,4.0
SCANIA-1052,2023-02-22,539492,Diagnóstico,6,6600.67,2197.96,14,TLR001,Santiago,G410,2022,,2023-02-26,CLT-528,2,2,TEC-6,Suspensión,0,1.0
SCANIA-1053,2023-02-23,306840,Diagnóstico,4,,400.98,6,TLR004,Valparaíso,P360,2018,False,2023-02-27,CLT-177,5,7,TEC-15,Eléctrico,4,3.0
SCANIA-1054,2023-02-24,523254,Diagnóstico,7,,1197.23,3,TLR001,Antofagasta,P360,2018,False,2023-02-28,CLT-667,3,7,TEC-10,Eléctrico,2,3.0
SCANIA-1055,2023-02-25,399457,Reparación,7,304.27,1880.04,5,TLR004,Antofagasta,S730,2017,,2023-03-01,CLT-179,4,7,TEC-6,Frenos,4,4.0
SCANIA-1056,2023-02-26,715987,Reparación,2,3395.97,,9,TLR004,Antofagasta,P360,2016,True,2023-03-02,CLT-405,2,0,TEC-15,Eléctrico,2,3.0
SCANIA-1057,2023-02-27,320936,Diagnóstico,3,5252.64,,2,TLR004,Valparaíso,S730,2021,False,2023-03-03,CLT-157,4,7,TEC-14,Eléctrico,0,3.0
SCANIA-1058,2023-02-28,289931,Diagnóstico,1,320.96,,11,TLR003,Valparaíso,P360,2016,False,2023-03-04,CLT-629,9,7,TEC-19,Frenos,4,3.0
SCANIA-1059,2023-03-01,289629,Reparación,8,2390.88,3713.31,2,TLR001,,G410,2020,False,2023-03-05,CLT-307,8,1,TEC-13,Transmisión,4,2.0
SCANIA-1060,2023-03-02,255041,Reparación,9,1822.06,2731.5,12,TLR003,Antofagasta,R500,2019,True,2023-03-06,CLT-610,3,8,TEC-14,Transmisión,1,4.0
SCANIA-1061,2023-03-03,748361,Mantenimiento,4,,4215.99,6,TLR002,Concepción,G410,2022,False,2023-03-07,CLT-234,1,6,TEC-3,Frenos,3,5.0
SCANIA-1062,2023-03-04,781912,Mantenimiento,6,3938.23,1762.68,6,TLR001,Santiago,P360,2016,True,2023-03-08,CLT-943,1,7,TEC-4,Eléctrico,4,5.0
SCANIA-1063,2023-03-05,467113,Reparación,9,1617.44,3573.61,11,TLR004,Concepción,R500,2022,,2023-03-09,CLT-621,6,1,TEC-14,Motor,2,1.0
SCANIA-1064,2023-03-06,118148,Diagnóstico,6,5996.04,4969.54,11,TLR003,Valparaíso,R500,2018,False,2023-03-10,CLT-680,3,3,TEC-14,Suspensión,3,4.0
SCANIA-1065,2023-03-07,827089,Diagnóstico,9,6813.84,1641.68,8,TLR003,Antofagasta,R500,2022,True,2023-03-11,CLT-952,4,6,TEC-8,Motor,0,4.0
SCANIA-1066,2023-03-08,698531,Diagnóstico,4,4455.56,3402.69,12,TLR001,Antofagasta,S730,2021,,2023-03-12,CLT-998,1,5,TEC-10,Motor,3,5.0
SCANIA-1067,2023-03-09,301995,Diagnóstico,8,,4237.14,13,TLR001,Concepción,G410,2022,True,2023-03-13,CLT-182,8,6,TEC-9,Eléctrico,1,3.0
SCANIA-1068,2023-03-10,728843,Mantenimiento,9,3713.73,4587.46,11,TLR004,Concepción,S730,2016,False,2023-03-14,CLT-720,1,0,TEC-14,Suspensión,0,4.0
SCANIA-1069,2023-03-11,622843,Reparación,4,4204.27,,14,TLR004,Santiago,R500,2021,True,2023-03-15,CLT-143,5,7,TEC-8,Suspensión,4,1.0
SCANIA-1070,2023-03-12,306508,Diagnóstico,5,7915.9,1489.68,2,TLR002,Antofagasta,G410,2022,False,2023-03-16,CLT-582,6,6,TEC-11,Transmisión,0,4.0
SCANIA-1071,2023-03-13,853591,Mantenimiento,8,,1698.78,9,TLR004,Concepción,G410,2019,False,2023-03-17,CLT-743,2,3,TEC-10,Frenos,0,3.0
SCANIA-1072,2023-03-14,156530,Diagnóstico,6,7551.86,201.71,2,TLR003,Santiago,P360,2018,True,2023-03-18,CLT-592,7,0,TEC-18,Eléctrico,1,4.0
SCANIA-1073,2023-03-15,654365,Reparación,7,,3828.34,13,TLR002,Valparaíso,S730,2022,True,2023-03-19,CLT-598,7,7,TEC-4,Suspensión,2,5.0
SCANIA-1074,2023-03-16,872352,Mantenimiento,3,3681.82,309.42,1,TLR002,,S730,2021,True,2023-03-20,CLT-117,1,9,TEC-4,Eléctrico,0,3.0
SCANIA-1075,2023-03-17,510337,Reparación,7,,4336.8,10,TLR002,Valparaíso,P360,2016,True,2023-03-21,CLT-704,4,6,TEC-12,Transmisión,2,3.0
SCANIA-1076,2023-03-18,774839,Reparación,8,5888.03,681.44,2,TLR001,Santiago,S730,2018,False,2023-03-22,CLT-393,4,7,TEC-18,Motor,3,2.0
SCANIA-1077,2023-03-19,855889,Mantenimiento,6,4945.59,942.19,12,TLR004,Valparaíso,R500,2017,False,2023-03-23,CLT-247,5,9,TEC-8,Suspensión,1,3.0
SCANIA-1078,2023-03-20,509773,Mantenimiento,9,5711.75,,7,TLR002,Antofagasta,R500,2017,False,2023-03-24,CLT-571,1,0,TEC-3,Transmisión,4,3.0
SCANIA-1079,2023-03-21,258261,Mantenimiento,6,3120.95,3715.61,8,TLR001,Antofagasta,S730,2020,False,2023-03-25,CLT-271,1,4,TEC-18,Eléctrico,0,2.0
SCANIA-1080,2023-03-22,814469,Mantenimiento,9,3081.96,781.11,5,TLR001,Valparaíso,P360,2017,False,2023-03-26,CLT-662,7,8,TEC-7,Transmisión,2,5.0
SCANIA-1081,2023-03-23,391097,Mantenimiento,4,553.49,2256.35,6,TLR002,Antofagasta,G410,2016,,2023-03-27,CLT-630,9,4,TEC-1,Transmisión,0,2.0
SCANIA-1082,2023-03-24,365139,Mantenimiento,8,2929.57,2465.97,12,TLR002,Santiago,S730,2019,,2023-03-28,CLT-219,1,9,TEC-13,Transmisión,1,4.0
SCANIA-1083,2023-03-25,221829,Mantenimiento,4,,1140.2,1,TLR003,Antofagasta,G410,2018,False,2023-03-29,CLT-935,2,2,TEC-3,Transmisión,4,5.0
SCANIA-1084,2023-03-26,321836,Diagnóstico,2,3157.97,666.24,6,TLR002,Valparaíso,P360,2021,False,2023-03-30,CLT-836,6,8,TEC-3,Transmisión,3,5.0
SCANIA-1085,2023-03-27,488974,Reparación,9,6684.67,4198.46,12,TLR003,Valparaíso,G410,2015,True,2023-03-31,CLT-165,6,8,TEC-15,Transmisión,3,4.0
SCANIA-1086,2023-03-28,252283,Mantenimiento,5,6770.14,2562.08,8,TLR002,Valparaíso,P360,2017,False,2023-04-01,CLT-240,2,3,TEC-19,Frenos,2,2.0
SCANIA-1087,2023-03-29,246769,Diagnóstico,4,3111.28,170.47,13,TLR002,Concepción,P360,2017,False,2023-04-02,CLT-545,9,3,TEC-4,Eléctrico,3,4.0
SCANIA-1088,2023-03-30,611353,Diagnóstico,2,5129.51,4034.61,3,TLR004,Valparaíso,R500,2015,False,2023-04-03,CLT-605,4,7,TEC-13,Motor,2,3.0
SCANIA-1089,2023-03-31,273165,Diagnóstico,1,943.9,4905.89,11,TLR002,Santiago,R500,2021,,2023-04-04,CLT-288,7,6,TEC-13,Eléctrico,4,5.0
SCANIA-1090,2023-04-01,673587,Reparación,7,1008.69,,1,TLR002,Antofagasta,P360,2021,True,2023-04-05,CLT-257,6,4,TEC-15,Suspensión,0,4.0
SCANIA-1091,2023-04-02,585822,Mantenimiento,6,579.53,2568.17,11,TLR003,,S730,2015,False,2023-04-06,CLT-709,3,5,TEC-19,Suspensión,1,4.0
SCANIA-1092,2023-04-03,537879,Diagnóstico,2,4731.92,4404.24,4,TLR003,Concepción,R500,2021,True,2023-04-07,CLT-769,8,2,TEC-16,Eléctrico,4,1.0
SCANIA-1093,2023-04-04,614685,Reparación,8,,4767.33,1,TLR004,Concepción,P360,2016,False,2023-04-08,CLT-345,7,5,TEC-7,Transmisión,4,4.0
SCANIA-1094,2023-04-05,832038,Reparación,4,4474.65,,14,TLR002,Santiago,G410,2021,False,2023-04-09,CLT-955,9,7,TEC-3,Frenos,3,4.0
SCANIA-1095,2023-04-06,403531,Reparación,8,4264.37,2282.72,8,TLR002,Valparaíso,G410,2018,False,2023-04-10,CLT-847,3,9,TEC-20,Motor,3,5.0
SCANIA-1096,2023-04-07,313160,Diagnóstico,7,2931.58,3001.88,5,TLR003,,S730,2021,True,2023-04-11,CLT-132,1,8,TEC-2,Transmisión,1,1.0
SCANIA-1097,2023-04-08,629879,Mantenimiento,5,5484.29,3534.58,1,TLR001,Antofagasta,G410,2022,False,2023-04-12,CLT-460,2,2,TEC-18,Eléctrico,0,5.0
SCANIA-1098,2023-04-09,270884,Diagnóstico,8,6116.31,1051.94,14,TLR001,Concepción,G410,2022,False,2023-04-13,CLT-852,1,7,TEC-11,Eléctrico,4,1.0
SCANIA-1099,2023-04-10,73247,Diagnóstico,9,314.1,2291.29,8,TLR001,Concepción,P360,2017,False,2023-04-14,CLT-429,5,2,TEC-1,Frenos,3,4.0
SCANIA-1100,2023-04-11,74300,Mantenimiento,5,,,9,TLR003,Valparaíso,G410,2019,False,2023-04-15,CLT-611,2,1,TEC-16,Frenos,4,4.0
SCANIA-1101,2023-04-12,517281,Mantenimiento,5,,3308.15,10,TLR003,Concepción,G410,2016,False,2023-04-16,CLT-949,3,4,TEC-17,Eléctrico,0,2.0
SCANIA-1102,2023-04-13,657086,Mantenimiento,2,3215.64,2114.9,2,TLR001,Santiago,G410,2016,True,2023-04-17,CLT-886,8,3,TEC-16,Transmisión,2,1.0
SCANIA-1103,2023-04-14,583556,Reparación,5,5367.37,3350.48,9,TLR001,Antofagasta,G410,2021,False,2023-04-18,CLT-170,5,4,TEC-10,Transmisión,0,4.0
SCANIA-1104,2023-04-15,398951,Mantenimiento,3,2906.31,,8,TLR002,Valparaíso,P360,2019,True,2023-04-19,CLT-412,4,5,TEC-17,Transmisión,4,3.0
SCANIA-1105,2023-04-16,324329,Diagnóstico,7,3247.89,,7,TLR003,Antofagasta,G410,2019,False,2023-04-20,CLT-827,5,2,TEC-3,Motor,4,2.0
SCANIA-1106,2023-04-17,769064,Mantenimiento,5,1437.7,3986.33,3,TLR003,Santiago,S730,2020,True,2023-04-21,CLT-178,6,0,TEC-18,Motor,1,4.0
SCANIA-1107,2023-04-18,792139,Diagnóstico,8,2214.2,1180.49,2,TLR001,Santiago,R500,2019,False,2023-04-22,CLT-268,7,3,TEC-19,Transmisión,4,4.0
SCANIA-1108,2023-04-19,482315,Reparación,1,4922.21,1011.21,7,TLR001,Concepción,S730,2021,False,2023-04-23,CLT-909,9,5,TEC-14,Eléctrico,3,4.0
SCANIA-1109,2023-04-20,566588,Diagnóstico,3,3578.67,4759.01,5,TLR004,Concepción,R500,2021,True,2023-04-24,CLT-279,1,1,TEC-2,Frenos,1,2.0
SCANIA-1110,2023-04-21,286584,Diagnóstico,3,6239.56,1128.5,6,TLR003,Concepción,S730,2015,True,2023-04-25,CLT-727,4,1,TEC-12,Suspensión,4,1.0
SCANIA-1111,2023-04-22,612332,Mantenimiento,9,6850.16,1378.5,4,TLR004,Antofagasta,R500,2017,False,2023-04-26,CLT-359,9,0,TEC-11,Frenos,0,4.0
SCANIA-1112,2023-04-23,887646,Mantenimiento,5,4424.84,4851.12,2,TLR002,Santiago,R500,2022,True,2023-04-27,CLT-585,5,8,TEC-17,Frenos,4,4.0
SCANIA-1113,2023-04-24,426896,Diagnóstico,9,6114.48,3700.07,9,TLR004,Valparaíso,R500,2020,True,2023-04-28,CLT-871,8,2,TEC-6,Suspensión,0,4.0
SCANIA-1114,2023-04-25,98984,Mantenimiento,9,2593.86,3528.02,3,TLR001,,R500,2021,False,2023-04-29,CLT-104,1,1,TEC-19,Transmisión,0,4.0
SCANIA-1115,2023-04-26,352918,Reparación,1,3436.78,4279.34,12,TLR003,Antofagasta,P360,2015,False,2023-04-30,CLT-396,4,3,TEC-13,Frenos,4,3.0
SCANIA-1116,2023-04-27,314712,Reparación,2,5759.67,667.53,14,TLR003,Concepción,S730,2020,False,2023-05-01,CLT-719,9,5,TEC-7,Suspensión,0,2.0
SCANIA-1117,2023-04-28,170151,Mantenimiento,5,3212.45,3559.19,7,TLR004,Santiago,R500,2017,False,2023-05-02,CLT-954,1,0,TEC-11,Eléctrico,2,5.0
SCANIA-1118,2023-04-29,505808,Reparación,4,,2568.07,14,TLR004,Valparaíso,S730,2020,False,2023-05-03,CLT-459,1,8,TEC-7,Eléctrico,1,3.0
SCANIA-1119,2023-04-30,183767,Mantenimiento,9,1645.91,4162.84,8,TLR002,Santiago,G410,2015,True,2023-05-04,CLT-216,4,8,TEC-13,Eléctrico,4,4.0
SCANIA-1120,2023-05-01,698663,Diagnóstico,7,4878.22,2589.89,2,TLR002,Antofagasta,R500,2018,False,2023-05-05,CLT-456,3,7,TEC-13,Transmisión,2,5.0
SCANIA-1121,2023-05-02,753550,Diagnóstico,6,6919.81,3139.18,14,TLR001,,S730,2022,True,2023-05-06,CLT-942,7,5,TEC-1,Frenos,0,5.0
SCANIA-1122,2023-05-03,186330,Reparación,7,6975.39,2440.94,6,TLR001,Santiago,P360,2021,False,2023-05-07,CLT-538,3,3,TEC-19,Frenos,0,4.0
SCANIA-1123,2023-05-04,530754,Mantenimiento,1,5849.89,,11,TLR001,Antofagasta,S730,2022,False,2023-05-08,CLT-430,1,1,TEC-19,Motor,1,3.0
SCANIA-1124,2023-05-05,351648,Mantenimiento,1,6016.88,,8,TLR004,Concepción,R500,2017,True,2023-05-09,CLT-624,2,7,TEC-15,Eléctrico,2,
SCANIA-1125,2023-05-06,738519,Reparación,8,4551.83,3179.98,7,TLR004,Valparaíso,G410,2016,False,2023-05-10,CLT-753,4,6,TEC-14,Transmisión,2,4.0
SCANIA-1126,2023-05-07,63986,Diagnóstico,2,4760.41,3202.99,11,TLR003,,S730,2017,True,2023-05-11,CLT-287,1,3,TEC-3,Suspensión,4,3.0
SCANIA-1127,2023-05-08,636146,Reparación,9,1242.47,2306.38,3,TLR001,Concepción,G410,2017,True,2023-05-12,CLT-380,1,2,TEC-20,Transmisión,0,4.0
SCANIA-1128,2023-05-09,179312,Diagnóstico,7,3662.1,,1,TLR004,Concepción,P360,2017,True,2023-05-13,CLT-610,8,5,TEC-4,Frenos,3,3.0
SCANIA-1129,2023-05-10,62666,Mantenimiento,6,3716.06,,14,TLR003,Concepción,S730,2018,False,2023-05-14,CLT-565,7,0,TEC-7,Eléctrico,4,5.0
SCANIA-1130,2023-05-11,350804,Diagnóstico,1,7676.28,4147.11,6,TLR001,Concepción,S730,2021,False,2023-05-15,CLT-214,8,1,TEC-1,Motor,4,3.0
SCANIA-1131,2023-05-12,184633,Reparación,1,3562.48,3513.15,8,TLR002,Santiago,P360,2015,False,2023-05-16,CLT-335,4,6,TEC-19,Transmisión,4,4.0
SCANIA-1132,2023-05-13,338998,Mantenimiento,2,4484.87,4627.96,6,TLR002,Concepción,P360,2021,False,2023-05-17,CLT-437,6,2,TEC-3,Motor,1,4.0
SCANIA-1133,2023-05-14,678776,Reparación,6,4359.36,4119.59,5,TLR004,Antofagasta,P360,2016,False,2023-05-18,CLT-621,3,0,TEC-20,Frenos,1,4.0
SCANIA-1134,2023-05-15,757611,Reparación,6,5166.74,2853.13,11,TLR003,,R500,2015,False,2023-05-19,CLT-298,8,1,TEC-15,Suspensión,4,4.0
SCANIA-1135,2023-05-16,334806,Diagnóstico,2,6036.22,3389.89,12,TLR002,Concepción,R500,2020,True,2023-05-20,CLT-863,4,9,TEC-13,Transmisión,3,5.0
SCANIA-1136,2023-05-17,844824,Reparación,1,1955.33,4638.91,8,TLR003,,S730,2020,False,2023-05-21,CLT-149,3,9,TEC-14,Frenos,2,3.0
SCANIA-1137,2023-05-18,80535,Diagnóstico,5,4324.05,3133.92,2,TLR003,Antofagasta,S730,2020,False,2023-05-22,CLT-241,4,8,TEC-7,Eléctrico,2,2.0
SCANIA-1138,2023-05-19,425713,Mantenimiento,5,6642.16,4141.55,12,TLR002,Antofagasta,S730,2015,False,2023-05-23,CLT-882,6,6,TEC-1,Transmisión,0,4.0
SCANIA-1139,2023-05-20,888688,Diagnóstico,2,3812.29,3475.17,1,TLR003,Santiago,G410,2019,False,2023-05-24,CLT-627,7,6,TEC-13,Motor,2,3.0
SCANIA-1140,2023-05-21,401279,Mantenimiento,6,2371.97,2804.49,1,TLR002,Concepción,P360,2018,True,2023-05-25,CLT-613,7,9,TEC-4,Transmisión,2,2.0
SCANIA-1141,2023-05-22,871654,Diagnóstico,9,5306.73,1285.01,14,TLR004,Concepción,S730,2019,True,2023-05-26,CLT-769,4,7,TEC-12,Frenos,3,2.0
SCANIA-1142,2023-05-23,651661,Reparación,2,6625.39,2187.39,4,TLR001,Antofagasta,P360,2021,True,2023-05-27,CLT-129,8,7,TEC-7,Frenos,2,2.0
SCANIA-1143,2023-05-24,697972,Diagnóstico,2,692.49,4841.94,6,TLR001,Concepción,R500,2020,True,2023-05-28,CLT-181,7,8,TEC-2,Motor,3,4.0
SCANIA-1144,2023-05-25,539570,Diagnóstico,3,6258.97,3323.05,13,TLR004,Antofagasta,P360,2018,True,2023-05-29,CLT-130,2,1,TEC-17,Frenos,1,4.0
SCANIA-1145,2023-05-26,506551,Mantenimiento,7,6608.85,2865.54,9,TLR002,Concepción,G410,2015,False,2023-05-30,CLT-847,8,7,TEC-1,Transmisión,3,2.0
SCANIA-1146,2023-05-27,323109,Reparación,6,3799.88,,1,TLR002,Antofagasta,G410,2020,True,2023-05-31,CLT-432,9,7,TEC-14,Motor,1,4.0
